UserName,name,ID_Number,Age,Site_ID
lily125450,Joseph Taylor,8078320080,24,2
lily336299,Lily Jones,6129512784,45,1
lily630624,Joseph Taylor,5718249999,45,3
joseph857385,Joseph Taylor,3132538446,35,2
lily924680,Lily Brown,1027747367,24,2
lily648255,Lily Brown,9658903750,35,1
joseph967754,Lily Brown,0358623683,30,2
lily961222,Joseph Taylor,7439107479,24,3
joseph796102,Lily Jones,8185724469,40,4
lily611850,Lily Jones,9749011117,40,0
lily724209,Lily Jones,5184611793,30,2
lily932076,Lily Jones,9063854098,40,1
lily337078,Joseph Taylor,2041732804,35,3
lily978418,Joseph Taylor,7830888640,30,3
joseph514700,Joseph Taylor,1535299610,40,0
joseph630647,Lily Jones,7532046671,45,0
lily378646,Lily Jones,0921779249,40,0
joseph581711,Lily Brown,1422118960,24,2
lily244931,Lily Brown,5484589928,45,1
lily512818,Joseph Taylor,0650458944,24,4
lily171967,Lily Jones,6300934246,45,2
lily445231,Joseph Taylor,3559484796,40,1
lily901793,Lily Brown,5914310539,45,3
joseph921572,Lily Brown,5088586091,45,3
lily882772,Lily Brown,8043253269,30,4
lily393250,Lily Brown,7271229904,24,3
lily492424,Lily Jones,7416117812,24,4
joseph532481,Lily Jones,5736515693,35,0
lily336502,Joseph Taylor,9190181317,40,3
joseph668221,Lily Jones,3905677097,24,3
joseph498830,Joseph Taylor,8936449261,24,1
lily240180,Lily Brown,4340007950,24,0
joseph638146,Joseph Taylor,9116966356,24,1
lily610988,Joseph Taylor,6294382696,30,4
joseph633939,Joseph Taylor,4143189182,30,2
joseph802809,Lily Jones,8480863842,45,1
lily338461,Lily Brown,3523046625,30,1
lily333926,Lily Jones,0560740014,45,1
joseph573152,Lily Brown,5229383611,45,2
lily310846,Joseph Taylor,9995830701,45,4
joseph354464,Lily Jones,9812566253,35,3
lily294223,Joseph Taylor,4591293920,35,0
lily635745,Lily Brown,4365406565,40,0
joseph518458,Lily Brown,9509025739,35,0
lily475100,Lily Jones,3140607127,45,3
joseph785780,Lily Brown,4110555356,40,2
lily746688,Lily Brown,1257434465,24,2
lily514843,Lily Jones,8771564499,30,1
joseph226926,Lily Brown,4100920628,35,1
joseph956298,Joseph Taylor,6792289320,35,0
lily231708,Joseph Taylor,4945950962,45,0
lily179738,Lily Brown,2231506457,30,2
lily603521,Lily Jones,0302550878,45,1
lily916607,Lily Brown,5200814806,24,4
lily648830,Lily Jones,1587188444,30,2
joseph599086,Joseph Taylor,9180777038,45,4
lily423300,Lily Brown,0255976745,30,0
lily672751,Lily Brown,1427258216,35,2
lily634318,Lily Jones,8972833044,30,3
lily303916,Lily Jones,4818448764,45,3
lily247774,Joseph Taylor,3948811602,35,0
lily638721,Lily Jones,4245689812,30,3
joseph952006,Joseph Taylor,0974979692,45,2
lily623941,Lily Jones,1108786051,35,0
lily736297,Lily Jones,2322601729,45,0
joseph206033,Joseph Taylor,0195419851,45,2
lily307824,Lily Jones,9891872534,30,4
joseph310078,Lily Jones,0583767546,45,0
lily889656,Joseph Taylor,9372032507,45,0
lily452484,Lily Jones,8158097997,40,1
lily893847,Lily Brown,8455047921,24,2
lily246198,Lily Jones,6161834289,30,2
lily478213,Joseph Taylor,6934445083,45,2
lily591767,Lily Jones,1204273893,45,1
lily760480,Joseph Taylor,9945084634,40,1
joseph978094,Joseph Taylor,1980515622,30,4
joseph302111,Lily Brown,0011349109,30,2
lily449550,Joseph Taylor,6495429681,24,3
lily988204,Lily Jones,7408366017,35,3
lily719276,Lily Brown,7497540347,45,2
joseph108998,Lily Brown,2736304457,30,2
joseph808726,Lily Jones,8527406282,40,0
joseph690033,Joseph Taylor,9835283197,30,1
joseph321233,Lily Jones,0886286802,45,4
joseph975427,Lily Jones,2693085649,35,4
lily906744,Lily Brown,6004300171,35,1
joseph726935,Joseph Taylor,2468810804,40,1
joseph148562,Lily Jones,8514736361,45,0
joseph261194,Joseph Taylor,4987613821,30,1
lily505691,Lily Brown,9128692155,45,0
lily736659,Lily Brown,9706691679,30,2
lily425850,Lily Jones,4142807962,40,3
lily621861,Lily Brown,0001053191,45,0
joseph699474,Lily Jones,5813870946,45,4
lily998049,Joseph Taylor,0901958250,40,0
lily909487,Lily Jones,8959027505,30,2
joseph648043,Lily Brown,0942915985,35,0
lily300572,Lily Brown,3436329284,40,1
lily329831,Joseph Taylor,6467093773,40,3
joseph879153,Lily Jones,3429468644,40,3
joseph978508,Lily Jones,6721872304,40,0
lily706651,Lily Brown,1037425402,30,2
lily820612,Joseph Taylor,3350621622,24,4
lily178653,Joseph Taylor,2805419446,30,2
lily669308,Lily Brown,9199236186,35,2
lily515608,Joseph Taylor,9744426214,45,0
joseph600098,Joseph Taylor,5377501703,30,2
lily259237,Lily Brown,1035555877,30,1
joseph373296,Lily Brown,4901223123,24,3
lily328568,Lily Jones,2770437312,24,3
joseph755374,Joseph Taylor,2819405370,45,4
joseph773681,Lily Jones,7867932741,30,0
lily722576,Lily Brown,2747871441,45,3
lily309262,Lily Jones,8163697924,40,0
lily704642,Lily Jones,5157414904,30,2
joseph788003,Lily Jones,9359019615,35,3
joseph168939,Joseph Taylor,3065349139,24,0
lily405238,Lily Brown,0122953008,35,0
lily101193,Joseph Taylor,4175838057,24,1
lily382693,Joseph Taylor,2634240013,30,0
lily985078,Lily Brown,3161445672,45,4
joseph309953,Lily Jones,5360729880,24,2
lily363427,Lily Jones,8535709700,24,0
joseph729770,Lily Brown,2883971276,30,3
lily524164,Lily Jones,0221620894,24,2
lily767147,Joseph Taylor,1463678539,35,1
joseph869051,Lily Jones,7633518186,35,3
lily865591,Lily Jones,9055840649,30,3
lily540227,Lily Brown,0411169466,35,4
lily719775,Lily Jones,0907222078,40,2
lily423276,Joseph Taylor,3427925855,35,1
lily734094,Lily Brown,1352081073,30,1
joseph966275,Joseph Taylor,3810667686,24,3
joseph390667,Joseph Taylor,2144737140,24,0
lily610284,Lily Brown,8313659427,30,3
joseph529686,Lily Jones,2671162298,40,0
lily763437,Lily Brown,3419162407,45,2
lily685177,Joseph Taylor,2997376431,45,4
lily976688,Lily Jones,7290321633,24,3
lily967369,Joseph Taylor,3468250172,40,2
lily104930,Joseph Taylor,5191046837,24,4
lily596415,Lily Jones,6322226425,40,1
lily258400,Lily Brown,0164831502,40,3
joseph954485,Joseph Taylor,4800833379,30,2
lily719813,Lily Brown,7711595281,40,0
lily517866,Lily Jones,7505260256,40,3
lily208943,Joseph Taylor,5511298776,40,2
lily202867,Lily Brown,2571101501,40,4
lily867627,Lily Jones,2355422337,24,3
joseph190074,Lily Brown,6310105280,30,1
lily507881,Joseph Taylor,8676675028,24,4
lily948786,Joseph Taylor,5485628863,24,4
lily653202,Lily Brown,2575289448,40,3
lily629000,Lily Jones,2852543314,35,4
lily500459,Joseph Taylor,5416115374,40,0
lily222607,Lily Brown,7277167102,45,0
lily648533,Lily Brown,8027064675,40,4
lily787360,Joseph Taylor,5871927538,45,3
lily136906,Lily Jones,4712095112,40,3
lily601296,Lily Jones,0767811861,30,1
lily716097,Joseph Taylor,2374686745,45,1
lily279454,Lily Jones,3694882204,45,1
joseph814241,Lily Jones,4839008242,30,3
lily560533,Lily Brown,6213645604,45,2
lily739975,Joseph Taylor,4828850700,45,0
lily675365,Joseph Taylor,3259620944,35,2
lily815314,Lily Jones,3622315107,30,2
lily224899,Joseph Taylor,2726387976,35,0
joseph483573,Joseph Taylor,1931508493,24,2
joseph916745,Lily Jones,9249996732,45,0
joseph722226,Lily Brown,5387008966,24,2
lily217597,Lily Jones,5793250357,35,3
lily242744,Joseph Taylor,7108402843,24,4
joseph713608,Lily Jones,3057352305,45,4
lily285155,Lily Brown,3930267981,35,1
lily873794,Lily Jones,9543448506,24,4
lily472793,Joseph Taylor,5705490940,30,1
lily862042,Joseph Taylor,8920196784,40,3
lily605360,Lily Jones,9382053134,24,2
lily892493,Lily Brown,4936291148,40,4
lily681724,Lily Brown,5411377081,24,0
lily791548,Lily Brown,8443115082,45,4
lily598591,Lily Brown,4888701469,35,4
lily143941,Joseph Taylor,9459276077,40,2
lily810857,Lily Jones,6630466627,35,4
lily151824,Joseph Taylor,1018484562,30,3
lily220793,Lily Jones,0208171423,40,1
joseph273100,Lily Jones,1696018030,24,2
lily107938,Lily Jones,4125987979,24,3
joseph748158,Joseph Taylor,4027982922,45,1
lily272899,Lily Brown,8926861857,24,3
joseph322038,Joseph Taylor,9591775241,35,0
lily631096,Lily Brown,7478344716,24,1
joseph752341,Lily Brown,5258373100,45,1
lily268327,Lily Jones,1533580166,35,0
lily163982,Joseph Taylor,0890208751,24,4
lily975183,Lily Brown,3344192927,45,1
lily305179,Lily Jones,6433396065,45,3
lily393150,Lily Jones,0540280471,35,0
lily735290,Joseph Taylor,7581128799,35,4
lily472643,Lily Brown,7749390314,35,0
joseph413788,Lily Brown,9051111006,35,0
joseph281871,Lily Jones,9764730946,30,2
joseph272295,Joseph Taylor,3879425086,35,4
joseph289751,Lily Brown,4260536597,30,0
lily918270,Joseph Taylor,8893185418,30,1
lily593985,Joseph Taylor,8206373890,24,1
lily593513,Joseph Taylor,3581718100,35,3
joseph208942,Lily Jones,8288683467,40,1
lily993567,Lily Brown,1268347801,35,2
lily280735,Joseph Taylor,7889904931,24,4
lily327789,Lily Jones,6906397413,45,2
lily726464,Joseph Taylor,1789471212,40,0
joseph341123,Lily Jones,2179792120,45,3
lily517421,Lily Brown,7181013121,35,2
lily240877,Joseph Taylor,6469637030,40,4
lily111835,Lily Brown,4085439243,40,2
lily133758,Lily Brown,9927461249,40,2
lily131532,Lily Jones,8555304528,45,2
lily849483,Joseph Taylor,6120078941,40,4
joseph953306,Lily Jones,2136885877,40,4
joseph794018,Lily Jones,5733051859,45,2
joseph134959,Lily Brown,1498293826,40,3
lily774231,Lily Brown,2800315404,24,1
lily495614,Joseph Taylor,3358026135,45,2
joseph522967,Lily Jones,1224681569,40,3
lily957694,Joseph Taylor,3318442269,35,1
lily876797,Lily Brown,3923462391,45,0
lily340646,Joseph Taylor,7519122342,45,1
lily648722,Lily Jones,6717161330,45,3
lily307961,Joseph Taylor,6061007598,40,0
lily506773,Lily Jones,3323979719,45,2
joseph543063,Lily Jones,4808273377,30,1
lily574808,Joseph Taylor,0631955395,24,3
lily474737,Joseph Taylor,1258418717,30,2
lily846189,Lily Brown,7293862956,40,2
joseph483074,Lily Jones,7611922805,35,0
lily307639,Lily Jones,1425123705,24,1
lily535943,Joseph Taylor,7081080677,30,0
lily223055,Lily Jones,0627567048,35,4
lily932314,Lily Brown,7125129498,45,3
lily201749,Lily Jones,2229053609,40,2
joseph818866,Lily Brown,8189812850,35,0
lily640136,Joseph Taylor,5851607585,24,0
lily237573,Lily Jones,2504668662,40,3
lily996636,Joseph Taylor,6067178190,24,4
joseph133613,Joseph Taylor,8506005527,45,2
lily708662,Lily Brown,3722500858,24,3
lily371031,Joseph Taylor,8011973083,40,3
lily862156,Joseph Taylor,7393696729,30,3
joseph680191,Lily Jones,2918482578,45,1
lily813988,Lily Brown,0357846291,40,3
joseph916821,Joseph Taylor,1063345861,40,1
lily317237,Lily Jones,4138553278,35,4
lily528623,Joseph Taylor,6261825550,24,2
lily719889,Lily Brown,7018932186,30,2
lily289918,Lily Jones,7132934335,30,0
joseph862527,Joseph Taylor,8960559536,24,3
lily259562,Lily Jones,0659093633,35,2
lily850069,Joseph Taylor,0613800561,40,2
lily171563,Lily Brown,4231544064,35,3
lily580403,Lily Jones,2131521139,40,3
lily695774,Lily Jones,1574955295,35,3
joseph888090,Joseph Taylor,8483543702,45,0
lily742716,Joseph Taylor,6394511447,24,0
lily970412,Lily Brown,0339961838,45,1
lily845633,Lily Jones,3657266182,45,4
lily637169,Lily Brown,8965429579,45,3
joseph368957,Lily Brown,3373220661,45,2
lily698498,Lily Brown,0877589202,45,3
joseph360091,Lily Brown,4926128529,30,2
joseph565053,Lily Brown,0820599563,24,2
lily194532,Joseph Taylor,5602855291,45,1
lily935583,Joseph Taylor,8096475537,30,1
lily956689,Joseph Taylor,6301923351,35,0
joseph205957,Joseph Taylor,7259893172,35,0
lily772177,Lily Brown,6501203380,30,2
lily758004,Joseph Taylor,0555227298,35,4
lily670545,Lily Brown,6845699213,24,1
lily461625,Lily Brown,2925122872,30,1
lily833338,Lily Brown,6173516480,40,2
lily236279,Joseph Taylor,4746079179,45,3
lily410996,Lily Brown,7660324110,35,2
lily985107,Lily Jones,8452820026,30,3
lily121754,Lily Brown,4366096974,35,1
lily823672,Joseph Taylor,1649150787,30,1
lily321241,Lily Jones,4843821259,35,2
joseph572146,Lily Jones,3933430699,40,3
lily913174,Joseph Taylor,2586596732,30,0
joseph228597,Joseph Taylor,0817012994,30,2
joseph214744,Lily Jones,9831848593,45,2
joseph434853,Joseph Taylor,2672772410,40,2
lily959523,Joseph Taylor,2209964899,24,1
lily620843,Lily Brown,6687255732,35,0
lily825725,Lily Jones,4291276380,24,2
joseph803584,Joseph Taylor,6514220625,30,0
joseph738697,Lily Jones,9593301747,24,1
joseph610389,Lily Jones,8298428803,24,3
lily877670,Joseph Taylor,1941544024,40,2
lily918903,Lily Brown,4249916231,30,4
lily666724,Lily Brown,3438024741,30,0
lily287335,Lily Brown,0043652749,40,3
joseph386213,Joseph Taylor,4437099571,30,2
lily911611,Lily Brown,1301747689,24,2
lily342002,Lily Jones,6100216716,30,4
lily295892,Lily Jones,3786533309,35,2
joseph553182,Lily Jones,4622689519,45,2
joseph723396,Joseph Taylor,6928213854,40,2
joseph113806,Joseph Taylor,3436345698,35,1
joseph596779,Joseph Taylor,8094444521,40,1
joseph993682,Lily Jones,1287819824,24,0
lily463299,Joseph Taylor,6754411632,45,2
lily243347,Lily Brown,2042641236,30,3
joseph833357,Joseph Taylor,8835292315,45,0
joseph389631,Joseph Taylor,1507060445,35,3
joseph656394,Lily Brown,0241886504,45,4
lily154279,Lily Brown,6920192805,30,0
lily125067,Lily Brown,4994101692,45,1
lily193840,Lily Jones,2432933168,24,2
lily344675,Joseph Taylor,0546572678,35,1
lily698632,Lily Brown,8926978825,24,2
lily982215,Joseph Taylor,1183629592,35,3
lily137372,Lily Jones,3358156502,45,1
lily997805,Lily Jones,8903602010,45,0
joseph856443,Lily Jones,9324225725,30,3
joseph323900,Lily Brown,0486353040,24,0
lily795566,Lily Brown,5143340749,45,3
lily641359,Lily Jones,1062141202,35,0
lily163835,Joseph Taylor,0741649683,40,0
lily134153,Lily Brown,9717811824,45,2
lily648837,Lily Brown,8647786234,40,1
lily827673,Lily Jones,2721683006,40,2
lily448582,Lily Brown,6130809504,35,2
lily483903,Lily Jones,4838567582,30,2
lily479498,Lily Brown,0158873029,30,4
lily531980,Lily Jones,2469419261,45,4
joseph724759,Joseph Taylor,8291822958,24,3
joseph908781,Lily Jones,4598432531,45,2
lily700682,Lily Jones,8051734973,40,4
lily745914,Lily Jones,0934834562,35,2
lily189505,Joseph Taylor,1307704518,24,2
joseph617840,Lily Brown,5972593765,35,0
lily743991,Joseph Taylor,0267805008,24,1
lily422759,Lily Brown,2179813187,24,3
lily959100,Lily Brown,1767423266,35,1
lily555929,Joseph Taylor,3731302698,24,2
lily769757,Lily Brown,9594004595,24,3
lily437205,Lily Jones,0458957615,30,1
lily742274,Joseph Taylor,4243194053,30,2
joseph667456,Joseph Taylor,2612426749,24,4
lily166767,Lily Jones,7612502130,30,3
lily482537,Lily Jones,7296944650,40,1
lily354263,Lily Brown,5501913734,30,4
lily689932,Lily Jones,2980751043,40,3
lily405163,Joseph Taylor,8275156815,45,2
joseph254487,Joseph Taylor,1175617610,35,3
joseph348285,Joseph Taylor,4810408471,35,0
joseph368280,Lily Brown,7718280461,24,3
joseph761554,Joseph Taylor,4042110639,45,3
lily225848,Lily Brown,1512051235,40,1
lily948164,Lily Jones,5321182334,35,4
joseph474911,Joseph Taylor,6620729453,35,0
joseph977891,Lily Brown,4369081957,35,0
lily484483,Joseph Taylor,1679988456,35,0
lily543934,Joseph Taylor,1034004155,24,2
lily427049,Lily Brown,5309810576,40,3
lily692487,Joseph Taylor,5683043667,24,1
lily705490,Joseph Taylor,9311880125,35,1
joseph622009,Joseph Taylor,3223041567,24,3
lily918801,Joseph Taylor,8038094041,35,0
joseph488560,Lily Jones,2556191816,24,4
lily655805,Lily Jones,9210802620,45,2
joseph471681,Joseph Taylor,8562204385,30,1
lily136104,Joseph Taylor,9118653692,40,2
lily339043,Lily Jones,9194018641,35,4
lily201343,Joseph Taylor,1270332982,35,3
lily972561,Lily Brown,8794249409,35,0
lily873693,Lily Brown,4573500092,35,4
lily505521,Joseph Taylor,9087788483,30,4
lily877585,Lily Brown,6099641823,24,2
lily219232,Joseph Taylor,1644479418,35,1
lily470726,Lily Brown,9215510188,24,1
lily516141,Lily Jones,6982764315,35,2
lily149405,Lily Jones,6131381079,35,1
lily121574,Lily Brown,8424661952,40,2
lily227350,Lily Brown,8864579093,24,1
lily340754,Lily Jones,8384451361,30,3
lily249323,Joseph Taylor,8013986602,45,4
joseph989025,Lily Jones,0956354424,40,1
lily711094,Joseph Taylor,4562591736,30,3
joseph281754,Lily Brown,6598379930,40,4
lily732925,Lily Jones,6711303726,24,3
joseph277307,Lily Brown,2525056105,30,1
lily848803,Joseph Taylor,8028399162,30,0
lily818276,Lily Jones,8871116120,40,1
lily104945,Joseph Taylor,2862914686,30,4
lily429422,Lily Jones,4583682345,40,4
lily835946,Lily Brown,8884498786,45,2
joseph224392,Lily Brown,9549713478,40,4
joseph475564,Joseph Taylor,5684272461,30,4
joseph629101,Joseph Taylor,9552705156,40,2
lily188775,Lily Brown,5284481813,45,3
joseph194347,Lily Brown,9789722747,40,1
lily716659,Joseph Taylor,5616766314,40,0
joseph910547,Lily Brown,7910163659,35,2
lily193484,Joseph Taylor,0815139281,30,0
lily626041,Lily Brown,1364923402,35,3
lily978968,Lily Brown,6008938061,45,3
lily297869,Joseph Taylor,5735005289,24,1
lily287779,Lily Brown,5236840003,45,0
lily234325,Lily Brown,4644532641,30,0
lily407683,Joseph Taylor,0903445329,45,1
lily738611,Lily Jones,3029393201,45,0
lily705223,Joseph Taylor,9390768632,35,1
lily961270,Lily Jones,3246175898,35,4
lily763679,Joseph Taylor,3553922974,24,2
lily412991,Lily Brown,2310968804,45,0
lily865009,Lily Brown,3932806304,40,4
lily774438,Joseph Taylor,9200425282,30,4
lily794168,Joseph Taylor,1205837361,24,3
joseph961427,Lily Brown,5212141997,45,1
lily452710,Lily Jones,2825938152,35,0
lily920081,Lily Jones,7824507141,30,3
lily558223,Lily Jones,7860842584,35,1
joseph695782,Lily Jones,2651865932,40,2
lily154964,Lily Brown,5084173272,35,4
lily242578,Lily Brown,8192332645,40,4
lily394221,Lily Jones,3107785012,35,4
joseph755441,Lily Brown,8086943748,30,1
lily337698,Lily Brown,9819349358,24,3
lily762555,Lily Brown,1298125485,30,3
lily995693,Lily Brown,0779466600,30,4
lily622046,Joseph Taylor,4105333940,35,0
lily254575,Joseph Taylor,6424444884,40,1
joseph287567,Lily Jones,6702982508,35,2
joseph513395,Joseph Taylor,6894612035,35,3
joseph502059,Lily Jones,2943098762,35,3
lily531114,Lily Jones,8244401723,35,3
lily544707,Lily Brown,3050672943,35,1
joseph188534,Lily Brown,0412793179,35,4
joseph705299,Joseph Taylor,4029009608,45,0
lily448426,Lily Jones,1401628654,30,1
lily237391,Lily Brown,9699739079,35,0
lily188548,Lily Brown,9448352621,30,3
lily471550,Lily Brown,2980845594,40,4
joseph799303,Lily Jones,5428376873,40,0
lily492350,Joseph Taylor,3082710614,35,1
lily247537,Joseph Taylor,2271924830,30,4
joseph564341,Lily Brown,0817865221,40,1
lily671754,Lily Jones,6851612838,35,2
lily921055,Lily Jones,4910901993,45,3
lily427130,Lily Brown,3111169457,40,4
lily808511,Lily Brown,3424080650,40,1
lily481677,Lily Jones,5487327389,30,4
lily484439,Lily Jones,0374813429,24,3
lily201410,Lily Jones,3555822286,35,0
lily730527,Lily Brown,2174998360,35,2
lily891732,Joseph Taylor,2904430677,35,2
lily760694,Joseph Taylor,4297129060,45,0
joseph228748,Lily Brown,3594577887,24,0
lily512453,Lily Jones,2559006566,35,2
lily860099,Lily Brown,4087559026,45,2
lily146560,Lily Jones,6534502507,24,3
lily915716,Lily Brown,1399135038,30,4
lily867309,Lily Brown,9617137308,45,1
lily401289,Lily Brown,8007750223,30,1
lily151482,Lily Brown,9155688623,40,1
joseph838020,Lily Brown,6915288525,45,3
lily730426,Joseph Taylor,4693108784,30,2
lily100182,Joseph Taylor,1647863919,45,4
lily914870,Lily Jones,3103469235,45,3
lily669671,Joseph Taylor,9747544064,45,0
joseph697451,Lily Jones,3830123202,24,4
joseph419893,Joseph Taylor,9156094970,35,2
lily464145,Lily Jones,2350047413,35,1
lily178999,Lily Brown,7233747321,45,3
lily735864,Lily Jones,9300137491,30,4
lily416349,Lily Jones,5215760294,30,0
joseph102570,Lily Jones,6680412702,30,3
lily255060,Lily Brown,5566806892,40,1
joseph172439,Lily Jones,9693681328,24,2
joseph117828,Lily Brown,7943872774,45,2
lily861687,Lily Jones,3410338600,24,1
joseph672758,Joseph Taylor,6023566410,30,0
joseph923680,Lily Jones,9606478555,35,1
joseph569976,Joseph Taylor,2846101903,45,4
lily724528,Joseph Taylor,2268691036,45,1
lily674281,Lily Brown,4986033238,30,1
lily720661,Lily Jones,3839260615,24,2
lily893413,Lily Brown,4995634459,40,1
lily410255,Joseph Taylor,3047624877,30,1
lily810181,Joseph Taylor,5481420351,35,2
joseph525724,Joseph Taylor,9224974595,40,0
joseph443714,Joseph Taylor,3364311835,35,3
joseph830567,Joseph Taylor,2884862976,35,2
joseph251245,Lily Brown,8055518069,24,1
joseph690393,Lily Brown,1144761793,45,2
lily132236,Joseph Taylor,5263931849,35,4
lily946868,Joseph Taylor,9672156747,30,2
lily920996,Joseph Taylor,1426725213,45,3
joseph275636,Lily Brown,8458162423,40,1
lily558315,Lily Brown,2804992593,35,0
lily227684,Lily Jones,7178380928,45,2
lily983167,Lily Brown,8058203685,24,0
lily411508,Lily Brown,3715936545,40,2
lily303777,Lily Brown,2462642969,30,2
joseph274696,Lily Jones,8634024466,40,0
joseph712405,Lily Brown,8935810113,40,1
lily587765,Lily Brown,2638204313,24,0
lily384993,Lily Brown,0944815415,35,3
lily364757,Lily Jones,8963233466,40,4
joseph461102,Lily Brown,1517218645,35,3
lily953995,Joseph Taylor,5613570836,30,0
lily946447,Lily Brown,4083113492,40,2
lily321498,Lily Brown,3850088770,45,0
joseph343454,Lily Brown,5788859424,40,1
lily890697,Lily Brown,7293540924,35,3
lily466689,Lily Brown,3073769237,35,1
lily713622,Joseph Taylor,6775972598,30,3
lily466666,Lily Jones,7299226395,35,1
joseph618548,Joseph Taylor,4438893558,30,0
lily873692,Lily Brown,1872375390,40,4
lily270111,Lily Brown,9790880760,40,4
lily586330,Lily Brown,6928651301,35,1
joseph695794,Lily Jones,8106738820,35,4
lily410122,Joseph Taylor,3914139029,35,0
lily525238,Joseph Taylor,9731462437,24,0
lily482367,Lily Brown,7784110637,40,1
lily229796,Lily Brown,5729528852,45,4
joseph125345,Lily Brown,9463560829,35,2
joseph763391,Lily Jones,1579833939,35,2
lily389513,Lily Brown,8441631812,24,4
joseph331326,Joseph Taylor,7386856057,35,4
lily173673,Lily Jones,8334260674,24,0
