name,ID_Number,Age,Site_ID
Jane Smith,6381265163,24,1
Jane Smith,1850425941,40,0
Jane Smith,7857041853,35,0
John Doe,7439695010,30,1
Anthony Moore,5254268358,40,1
Jane Smith,6564804103,35,0
John Doe,5324358811,45,1
Jane Smith,9501886535,30,1
John Doe,7996400399,35,1
Anthony Moore,6364621971,35,0
Anthony Moore,1519437277,40,1
Anthony Moore,0281055946,40,0
Anthony Moore,2599426367,24,0
Jane Smith,7975591775,30,0
John Doe,8987196767,35,1
Anthony Moore,7391899514,35,1
Jane Smith,5388621523,24,0
Anthony Moore,1492580913,45,0
Jane Smith,7399442500,35,0
Anthony Moore,4605428507,40,1
Jane Smith,6481165427,35,0
John Doe,8816320060,30,0
Anthony Moore,4038514329,45,1
Jane Smith,2406365669,30,0
John Doe,3505736246,30,0
John Doe,2331420945,35,1
John Doe,8799558756,40,1
Anthony Moore,1218356027,40,1
Jane Smith,8523533601,24,0
Anthony Moore,0024659960,40,0
Anthony Moore,8464961671,35,0
Jane Smith,6177703871,30,1
John Doe,1773960459,35,1
Jane Smith,7359071858,30,1
John Doe,9641351512,24,0
John Doe,3777307864,24,0
Jane Smith,8768395197,35,1
Anthony Moore,7823346987,35,0
Anthony Moore,6803048761,24,0
Anthony Moore,0177722257,24,1
Anthony Moore,4722585191,24,1
Jane Smith,7861906174,40,0
Jane Smith,7286225495,24,0
John Doe,0120052008,30,0
Anthony Moore,5156132762,30,0
John Doe,6520920137,30,0
John Doe,2835593465,24,1
Jane Smith,6647049943,24,1
John Doe,8220815740,40,1
Anthony Moore,2047869094,24,1
Anthony Moore,0006588876,40,0
John Doe,6495572629,45,0
Anthony Moore,9424231018,45,0
Jane Smith,6788908985,45,1
Anthony Moore,3831610821,45,0
John Doe,1949369221,30,0
Anthony Moore,4130618053,24,1
John Doe,2289128876,40,0
John Doe,9773408384,45,0
John Doe,2105953403,24,0
Jane Smith,0127165979,24,0
Anthony Moore,5565473344,35,0
Anthony Moore,5879884333,40,0
Jane Smith,3582587409,40,0
John Doe,3133565204,24,0
Jane Smith,7820824003,30,0
Anthony Moore,9821046320,24,1
John Doe,9562296590,35,1
John Doe,5232259685,35,0
Jane Smith,7508572597,24,1
Jane Smith,6869315666,45,0
John Doe,3061442218,35,0
Anthony Moore,4608151335,45,1
Jane Smith,8674405368,30,0
Anthony Moore,0815148484,24,0
John Doe,9742142702,45,1
John Doe,1642641225,30,1
Anthony Moore,0176333875,35,1
Jane Smith,3505945007,30,1
Jane Smith,4074190101,24,1
Jane Smith,2796802002,30,0
Jane Smith,2824129317,24,1
John Doe,8177177411,30,1
Anthony Moore,9743745531,45,0
John Doe,0494267686,30,0
Jane Smith,3189208960,30,0
John Doe,2414772651,45,1
Jane Smith,0343124541,24,1
Anthony Moore,1650955832,24,1
Jane Smith,1411038896,35,0
John Doe,8464731476,30,0
Anthony Moore,9683725249,30,0
Anthony Moore,8465810476,30,1
Anthony Moore,3723126036,30,0
Jane Smith,7779301619,30,0
Jane Smith,4611055350,24,0
Anthony Moore,9490644540,35,1
John Doe,9845151635,24,0
Anthony Moore,7519135967,40,0
Jane Smith,0079116028,40,0
John Doe,4782852897,45,0
Anthony Moore,0143117249,35,1
John Doe,5573591781,45,1
John Doe,8032764247,24,1
Jane Smith,3165272129,45,1
Anthony Moore,6842886761,24,0
John Doe,9144353091,30,1
John Doe,5884150506,24,1
Anthony Moore,0324914028,24,0
John Doe,7992181298,45,1
John Doe,8028633428,45,1
Jane Smith,3108526760,24,0
Anthony Moore,3950674019,30,0
John Doe,0843854343,35,0
Jane Smith,5689289109,30,0
John Doe,5991557060,45,1
Anthony Moore,7880595858,30,0
Jane Smith,3612004600,24,0
John Doe,2112729977,35,1
Anthony Moore,2824757168,35,0
John Doe,3546508131,24,1
Jane Smith,1108729765,24,0
Jane Smith,1093161541,30,0
Jane Smith,8561056474,24,1
Anthony Moore,3501138387,45,0
John Doe,6139860282,30,1
Jane Smith,0070094003,45,1
Anthony Moore,0825596998,45,0
Jane Smith,9019408677,45,1
Jane Smith,9981042490,30,0
Jane Smith,9596561219,40,1
John Doe,6587345518,35,0
Jane Smith,9498221390,30,1
John Doe,2364735607,30,0
Jane Smith,5155087826,45,1
Anthony Moore,2570029954,24,1
Anthony Moore,0077924326,35,1
John Doe,0885250760,30,1
Jane Smith,5467179829,30,1
John Doe,9102598185,35,1
Anthony Moore,5553163896,40,1
Jane Smith,5321639662,30,1
Anthony Moore,7590140450,30,1
Anthony Moore,9154425336,45,1
Anthony Moore,9606546336,30,0
Jane Smith,1653568193,40,0
John Doe,3275589836,40,1
Anthony Moore,1202348441,35,1
John Doe,5404799366,45,0
John Doe,3667617480,35,0
John Doe,3395546759,24,1
Jane Smith,3520379196,35,0
John Doe,0296227365,24,0
Jane Smith,1384384993,30,1
Anthony Moore,2201151770,45,0
Anthony Moore,5723977171,40,1
Anthony Moore,6433012053,30,0
Anthony Moore,7831247329,40,0
John Doe,7684351289,40,0
Jane Smith,5006339254,30,1
Jane Smith,9479843053,24,1
Anthony Moore,2176292078,45,1
Jane Smith,3007957058,24,0
John Doe,8768037554,45,0
Jane Smith,4844898214,30,0
Anthony Moore,5471196469,30,1
Jane Smith,8628632051,35,0
Jane Smith,7696209401,40,0
Anthony Moore,7109629405,45,1
John Doe,2317868256,24,0
John Doe,9343552025,40,1
Jane Smith,2952422365,45,1
Anthony Moore,1808579501,30,1
John Doe,8043618577,24,1
Anthony Moore,4003210903,40,0
John Doe,2760973547,40,1
Anthony Moore,3298254325,30,1
Jane Smith,4210503541,45,0
Anthony Moore,7705867618,30,1
John Doe,6334959791,45,1
John Doe,3152842706,35,0
Jane Smith,4633393679,45,1
Anthony Moore,7958234991,35,0
John Doe,0718576075,30,0
John Doe,4073321403,24,0
John Doe,1555619428,30,1
John Doe,9495501664,35,0
Jane Smith,4645317750,40,1
Jane Smith,7537329046,30,0
John Doe,9829042101,30,1
Anthony Moore,3760927912,40,0
Jane Smith,5971525866,24,1
Anthony Moore,3308537736,40,0
Jane Smith,0785937659,35,0
Anthony Moore,2051884849,30,0
John Doe,1212172675,30,1
Jane Smith,3287074738,45,1
Jane Smith,5259937326,40,1
John Doe,4812058516,24,0
Jane Smith,6332182462,30,0
Anthony Moore,6418455468,30,0
Anthony Moore,2232897094,30,1
Jane Smith,7419641116,40,1
Jane Smith,8765040780,30,0
Jane Smith,8564530696,24,0
John Doe,0519936236,30,1
John Doe,3289181166,35,1
John Doe,8020057763,30,1
John Doe,8010336396,35,1
Anthony Moore,1088273371,35,1
Anthony Moore,9062449627,30,1
John Doe,6006244151,45,0
John Doe,2961790787,30,0
John Doe,1470053604,45,1
Jane Smith,4145290046,35,1
John Doe,3330400730,24,0
Anthony Moore,1604519314,24,1
John Doe,7222711627,40,0
Jane Smith,4684696330,45,0
Anthony Moore,7471637105,45,0
Anthony Moore,3057967654,45,1
Jane Smith,3925007725,30,1
Jane Smith,2535379308,30,1
Jane Smith,6783585199,35,0
Jane Smith,6625013252,40,1
John Doe,0337768358,40,1
Jane Smith,9237112485,24,1
Jane Smith,3377694915,24,0
Anthony Moore,0227025976,40,0
Anthony Moore,3635275453,24,0
John Doe,4510678673,40,1
Jane Smith,1736946513,35,1
John Doe,4073529866,30,1
Jane Smith,8053710028,35,0
Anthony Moore,5227200500,45,1
Anthony Moore,1538864398,35,0
Anthony Moore,1947028273,30,0
Jane Smith,4632707229,24,0
Anthony Moore,0287498177,40,0
Jane Smith,1530338167,40,1
Anthony Moore,1009658613,45,0
Jane Smith,2358613685,30,1
Jane Smith,7207305141,30,0
Jane Smith,0065166949,35,0
Anthony Moore,0862309585,40,0
Anthony Moore,0739159072,45,1
Anthony Moore,5662252520,45,0
Jane Smith,0078526472,30,0
John Doe,1202138670,24,1
Jane Smith,7817912989,24,0
John Doe,9262276222,40,1
John Doe,9282008830,35,0
Jane Smith,8133309786,45,1
John Doe,8689074425,24,1
Anthony Moore,1409102327,24,1
John Doe,1942782850,30,0
Anthony Moore,2631578840,45,0
John Doe,8325310467,40,0
Anthony Moore,7064321154,35,0
John Doe,9300856055,24,1
Anthony Moore,7547906387,45,0
Anthony Moore,7473875554,45,1
Jane Smith,5190227422,40,0
John Doe,3407737303,30,1
John Doe,5982798267,30,1
John Doe,8442302221,45,0
John Doe,7843878069,35,0
Jane Smith,1028024038,45,0
John Doe,5039216274,30,1
Jane Smith,4072025166,35,1
Anthony Moore,1046747177,35,1
Anthony Moore,9738826224,30,0
Anthony Moore,0969566076,35,1
Jane Smith,7063737997,40,1
Jane Smith,8536555750,30,1
Jane Smith,9520541130,30,0
John Doe,3898885187,35,1
John Doe,0524968929,30,0
Anthony Moore,1972571000,30,1
Jane Smith,7832065468,30,0
John Doe,5946440813,35,1
Jane Smith,2910071638,24,0
John Doe,1466120602,24,1
John Doe,8488017833,45,1
Anthony Moore,2802725928,45,0
Anthony Moore,9860322263,24,1
John Doe,1521803840,35,0
Anthony Moore,8199513977,45,0
Jane Smith,5258041530,40,0
Jane Smith,4868678585,40,1
John Doe,2632299701,45,1
Anthony Moore,4805566616,40,1
Jane Smith,9147896527,40,1
Jane Smith,5315281651,45,1
Anthony Moore,4492737908,40,0
Jane Smith,6386377379,40,0
Anthony Moore,8911443763,40,1
John Doe,8961158099,45,1
John Doe,3690846722,35,1
John Doe,0687299449,40,1
John Doe,5336517239,40,0
Anthony Moore,2027532389,40,1
Jane Smith,7176407689,35,0
Anthony Moore,8143821251,24,1
Jane Smith,2115052164,35,1
Jane Smith,4689207572,35,0
John Doe,1710991963,30,0
John Doe,0102789174,45,0
Anthony Moore,5355299935,40,1
Jane Smith,9078568345,45,1
Jane Smith,0671711534,40,1
John Doe,7629368129,24,1
Jane Smith,7970923801,30,0
Anthony Moore,4319512243,35,1
Anthony Moore,2552683886,35,1
Anthony Moore,8969688448,35,0
Jane Smith,5418948737,40,1
Jane Smith,1321421923,30,1
Anthony Moore,9165731145,24,1
Anthony Moore,5438382923,35,0
John Doe,3639963331,40,1
John Doe,6677458290,35,0
John Doe,5260417542,35,1
Anthony Moore,8993408044,40,0
John Doe,9071909019,40,0
Jane Smith,5164869120,24,1
John Doe,5602626754,30,1
John Doe,6090395990,24,0
Jane Smith,2662154065,40,1
Anthony Moore,9794259735,30,0
John Doe,6736923499,45,1
Jane Smith,5453781654,30,1
Anthony Moore,6271436761,30,0
Jane Smith,1358887741,45,1
John Doe,3122962054,35,1
John Doe,2525596638,35,0
Jane Smith,1939646999,45,1
John Doe,2083045081,40,1
John Doe,3179625714,40,0
Jane Smith,3332875573,45,1
Anthony Moore,1986112957,35,1
Anthony Moore,9066377377,40,0
John Doe,3616393896,24,0
Jane Smith,0692071955,24,0
Anthony Moore,6389421811,24,0
Anthony Moore,0408898452,45,0
Anthony Moore,1014311510,45,1
Anthony Moore,4493985535,35,0
Jane Smith,1204080234,40,0
John Doe,1648282660,40,1
Anthony Moore,0704486128,40,1
Jane Smith,1481176262,30,1
Anthony Moore,8145142436,30,1
John Doe,1002711718,45,0
Anthony Moore,7038929418,45,1
John Doe,3802433081,30,1
Jane Smith,2700429374,35,0
Jane Smith,8404732701,45,1
Jane Smith,1662681224,30,0
Anthony Moore,1818528553,45,1
Anthony Moore,1283797428,30,0
Jane Smith,8454809902,30,1
John Doe,0337045119,45,0
Jane Smith,9724711563,35,0
Anthony Moore,6963361508,40,0
John Doe,0623025657,45,1
John Doe,8374933737,30,1
Anthony Moore,4477163516,45,1
John Doe,0090163348,45,0
Anthony Moore,9397270847,35,1
John Doe,8127699738,24,1
Jane Smith,4982001309,35,0
Jane Smith,6491085079,35,1
Jane Smith,6058846110,40,0
John Doe,1233832370,35,0
John Doe,7731262111,35,0
John Doe,1781860846,30,0
Anthony Moore,3340499456,40,0
Anthony Moore,6249317540,45,0
Jane Smith,4799399224,35,0
Anthony Moore,5548555489,40,0
Anthony Moore,6603323847,30,1
Jane Smith,8611632462,45,1
John Doe,8227713069,30,1
Anthony Moore,6543819246,35,0
Anthony Moore,5191238320,40,0
John Doe,1544435572,45,0
Anthony Moore,7037938348,35,1
John Doe,2048456867,30,0
Jane Smith,2014706495,30,0
Anthony Moore,5148871430,40,0
Anthony Moore,2047095654,40,1
Anthony Moore,2647598207,45,0
Jane Smith,4728446836,30,0
Jane Smith,9256299213,35,1
John Doe,4380729960,24,0
Anthony Moore,9130980180,30,0
Jane Smith,0543291920,24,1
Jane Smith,1088442962,30,1
John Doe,0186749572,45,1
Jane Smith,6247905333,45,0
Jane Smith,8732020318,45,1
Anthony Moore,4032655148,40,0
John Doe,3802627106,35,1
John Doe,0573690647,40,0
John Doe,7330655968,40,1
Anthony Moore,9512802545,40,1
Anthony Moore,3281043001,40,1
John Doe,2279948000,35,0
Anthony Moore,2737729824,30,0
John Doe,6716715698,40,0
Anthony Moore,4419739690,35,0
John Doe,5041157169,30,0
Jane Smith,2283139186,45,1
Jane Smith,8027511510,24,0
John Doe,2951751541,24,1
John Doe,7151242696,24,0
Anthony Moore,8023870780,24,0
Anthony Moore,6248200618,45,0
John Doe,1676844142,45,0
Anthony Moore,3952908124,40,1
John Doe,7001270017,45,0
Anthony Moore,0694327115,45,0
Anthony Moore,3475838823,45,1
John Doe,0628165115,40,1
Jane Smith,5108217350,40,1
Anthony Moore,4223842012,40,0
John Doe,4638651641,40,0
Anthony Moore,8296854974,30,1
John Doe,6081235138,45,1
Jane Smith,2682216127,35,1
John Doe,3640851770,40,1
Anthony Moore,7472368183,30,1
John Doe,9192092027,45,1
John Doe,7633190330,24,0
Anthony Moore,3781104707,45,0
Anthony Moore,6644648586,40,0
Jane Smith,9515377155,24,1
Anthony Moore,3124133558,24,1
Jane Smith,5103269569,45,0
Jane Smith,0182532090,40,0
John Doe,0469349176,24,1
Jane Smith,6952927047,40,1
John Doe,2410274058,35,1
Jane Smith,8497845345,35,0
John Doe,0853906945,45,0
Anthony Moore,4409521650,35,0
John Doe,2564207199,40,1
Jane Smith,2763958896,40,0
Jane Smith,7587447415,45,0
Anthony Moore,2456973181,24,0
Jane Smith,9491151038,30,1
John Doe,1931576472,45,1
Anthony Moore,4622723046,35,0
Anthony Moore,8611266750,30,0
Anthony Moore,4888554281,35,1
John Doe,4598622885,30,0
Jane Smith,8514745296,30,1
Anthony Moore,7101429875,24,0
Anthony Moore,6039485004,40,0
John Doe,5976236178,30,1
Jane Smith,0586593896,24,1
Anthony Moore,9971605981,24,1
Anthony Moore,8558025090,30,0
Anthony Moore,4602816947,30,0
John Doe,1593088671,30,0
Anthony Moore,2531333816,24,0
Jane Smith,3966783696,45,1
John Doe,6351191755,35,0
Jane Smith,9820224725,24,1
John Doe,7669149241,35,1
Anthony Moore,8093794912,35,0
Jane Smith,5959972086,35,0
Anthony Moore,7609981347,24,1
John Doe,4321724281,30,0
Anthony Moore,1456355023,24,1
Anthony Moore,8659465924,30,1
Jane Smith,0559435845,24,1
John Doe,9966354745,40,0
John Doe,9692360554,30,0
Jane Smith,1703242541,40,1
John Doe,8339906334,35,1
Jane Smith,3702246141,45,0
John Doe,6600832023,40,1
Jane Smith,5263788675,24,1
John Doe,9167679636,30,0
Jane Smith,6214551592,40,1
John Doe,4130703557,45,0
Jane Smith,4619770973,35,1
John Doe,4993894794,24,0
Jane Smith,3762169528,40,0
John Doe,1660456380,30,0
Anthony Moore,0773462402,40,0
John Doe,6787917685,45,0
Anthony Moore,4390306221,35,0
Anthony Moore,3562089664,40,1
Anthony Moore,2394135034,45,1
John Doe,8631211207,35,0
Anthony Moore,7045974744,40,1
John Doe,1969075423,30,1
Anthony Moore,1670208875,30,0
Jane Smith,0465903976,35,1
John Doe,8738088702,24,0
John Doe,4638943403,35,0
Jane Smith,0533968691,40,1
Jane Smith,8446550904,35,1
John Doe,3835551839,24,1
Jane Smith,9829231090,45,0
John Doe,3080096168,35,1
John Doe,7048802238,30,1
Anthony Moore,9774240067,40,1
Jane Smith,9199644602,24,0
Jane Smith,7913102242,24,1
John Doe,0562750117,35,1
Jane Smith,3429958447,40,0
Jane Smith,3495872964,45,0
Jane Smith,2725167294,24,0
John Doe,5086493180,40,0
Anthony Moore,2302414510,30,1
John Doe,9943096025,45,0
John Doe,5960321790,40,1
Jane Smith,2319513522,35,1
Jane Smith,8541257358,24,1
Jane Smith,3761886995,24,0
Jane Smith,2851665212,35,0
Jane Smith,9677037423,40,1
Anthony Moore,5719600078,40,1
Jane Smith,2888581974,24,1
Jane Smith,0179818709,35,0
Jane Smith,7562556347,40,1
John Doe,7059581869,24,0
Jane Smith,1135499014,45,0
John Doe,7262363822,35,0
John Doe,6815612893,45,1
Anthony Moore,1400342065,35,0
John Doe,4788147387,35,0
Anthony Moore,5469404049,30,1
Jane Smith,5107343036,30,1
Anthony Moore,8439773532,30,1
John Doe,3520856386,30,1
Jane Smith,5667100902,30,0
Anthony Moore,2175873466,24,0
Anthony Moore,1094170945,30,0
Anthony Moore,5449596180,24,0
Anthony Moore,4835881100,24,1
Anthony Moore,7748141357,35,0
John Doe,2630672060,24,1
Jane Smith,0222840328,24,0
Jane Smith,2881945872,24,0
Jane Smith,4026599568,30,0
Anthony Moore,8863164863,30,0
Jane Smith,7740572159,40,1
Jane Smith,4965498867,24,1
John Doe,2243961203,24,1
Jane Smith,4565019849,40,1
John Doe,5494584453,24,1
Anthony Moore,7927264095,24,1
Jane Smith,2808932198,30,1
Anthony Moore,0976845619,45,0
Jane Smith,5090986933,24,0
Jane Smith,6840169242,35,0
Anthony Moore,1938671420,24,1
Jane Smith,2357480663,45,1
John Doe,3816718895,24,1
John Doe,0114998761,30,0
John Doe,4260005629,45,0
John Doe,3743294205,30,1
John Doe,4149946795,24,0
Jane Smith,5429529750,35,1
Jane Smith,6176578250,30,0
John Doe,9286076996,30,0
Anthony Moore,5070383417,45,1
Anthony Moore,4932795821,40,1
Jane Smith,9480060581,30,1
Anthony Moore,5895350122,45,0
Jane Smith,2211309558,40,1
Anthony Moore,6161385804,30,0
John Doe,8845022223,40,1
Anthony Moore,9760242619,40,1
Jane Smith,6620580646,35,1
Jane Smith,6743952558,40,1
Jane Smith,4451422036,40,1
Jane Smith,9330254233,35,1
Jane Smith,0604997376,30,0
John Doe,8666134467,45,0
Anthony Moore,7632489467,24,1
Jane Smith,8443815087,35,1
Anthony Moore,2031188345,24,0
Jane Smith,1334438750,45,1
John Doe,1975220700,30,1
John Doe,7653126958,45,0
Jane Smith,5726334572,40,1
John Doe,0575565613,40,0
Jane Smith,1243598774,30,0
Jane Smith,2231450078,30,1
John Doe,6677309404,40,1
Jane Smith,1015840135,45,0
Anthony Moore,6208178158,30,0
Jane Smith,4238371222,24,0
John Doe,5513533094,45,0
Jane Smith,5110038009,35,0
Anthony Moore,6973198405,45,1
Jane Smith,2614965787,24,0
John Doe,9019815941,45,0
John Doe,3043051251,40,1
John Doe,7114090671,45,0
Anthony Moore,1347674902,35,1
Jane Smith,9608947438,30,1
John Doe,3251824549,40,1
John Doe,3921490158,30,0
John Doe,1891618930,30,0
John Doe,9631537762,40,1
Anthony Moore,5824743908,24,1
John Doe,5599502608,35,0
Jane Smith,5264980214,35,0
John Doe,7619630618,30,1
Jane Smith,9129121200,30,1
Jane Smith,4817615671,30,1
Jane Smith,0409716766,24,1
Jane Smith,9843674681,35,0
Jane Smith,2265007601,40,1
John Doe,4192555423,40,0
Anthony Moore,8689043825,35,1
Anthony Moore,6399786837,45,1
Jane Smith,3413782197,30,0
Jane Smith,0129888727,30,1
Jane Smith,4690272193,30,1
Jane Smith,1790577496,35,1
John Doe,3426362141,40,1
John Doe,3071927670,40,1
Anthony Moore,0888658024,35,1
Jane Smith,3626960153,40,1
John Doe,8731691113,24,1
Jane Smith,2097540126,30,1
Jane Smith,9591348683,30,0
John Doe,3390487446,30,1
John Doe,7672225865,40,0
Anthony Moore,2407890560,35,1
John Doe,2819041236,40,0
John Doe,2000507700,40,1
Anthony Moore,8597206440,30,0
Anthony Moore,8879853814,35,0
Anthony Moore,3394211615,35,1
John Doe,3344690983,45,1
Jane Smith,8730665433,24,0
John Doe,0185520930,40,0
Jane Smith,8463444856,35,0
Jane Smith,2327394050,40,0
